number,myTime,bp1time,bp2time,bp3time
993491015458366,1.003489002585411,0.05577200651168823,1.778441995382309,0.5110660046339035
412600706573276,0.047331005334854126,0.00901399552822113,1.3049169927835464,0.5933520048856735
473140350969830,0.03454199433326721,0.010130003094673157,34.02937099337578,21.10733500123024
558532788541040,0.07343700528144836,0.014525994658470154,1.798218995332718,2.56597700715065
987871175178747,0.015437990427017212,0.017245009541511536,0.05375199019908905,0.03757999837398529
48715292653489,0.007381007075309753,0.0034469962120056152,0.01977299153804779,0.015146002173423767
41032430768348,0.006809011101722717,0.003117993474006653,0.10648798942565918,0.04933299124240875
667311152525877,0.011819005012512207,0.00441800057888031,2.897939994931221,2.245512992143631
238622977055993,0.022685006260871887,0.006804987788200378,5.644329994916916,5.259313002228737
756699244705964,0.018597006797790527,0.006668999791145325,0.7306580096483231,0.6892339885234833
153419835448547,0.010131999850273132,0.003988012671470642,0.047383010387420654,0.036885008215904236
473741605744843,0.009100988507270813,0.2142769992351532,5.614175990223885,5.806841999292374
789768407208219,0.01565299928188324,0.005934000015258789,0.1653899997472763,0.1857529878616333
595569749883862,0.012647002935409546,0.004787996411323547,3.968528002500534,3.322032004594803
424414425621336,0.013631999492645264,0.004938006401062012,0.04560600221157074,0.036779001355171204
937770011254360,0.0103130042552948,0.0036259889602661133,0.4017139971256256,0.48069000244140625
937377983383278,0.01231299340724945,0.004744991660118103,0.02129898965358734,0.01707799732685089
828716492192133,0.008988991379737854,0.0035569965839385986,0.30686700344085693,0.21754200756549835
104335919683058,0.006910011172294617,0.0031059980392456055,0.04424101114273071,0.03470499813556671
758828765163318,0.006212994456291199,0.002911001443862915,0.13474199175834656,0.30032800137996674
295368382435236,0.06436099112033844,0.005718991160392761,0.11530999839305878,0.0388450026512146
796479136787775,0.014307007193565369,0.0052970051765441895,114.19691599905491,115.85627999901772
240246026769105,0.01655399799346924,0.00638599693775177,0.07507899403572083,0.05678500235080719
124908675259043,0.0089150071144104,0.0035300105810165405,0.42937900125980377,0.32976800203323364
492768211459172,0.009467005729675293,0.0034510046243667603,0.07144300639629364,0.0574059933423996
96144732671386,0.007119998335838318,0.003098011016845703,0.3478050082921982,0.3032190054655075
934196774668237,0.006223008036613464,0.003125995397567749,0.058579012751579285,0.04782100021839142
932220113054343,0.007346004247665405,0.0033160001039505005,0.13116098940372467,0.15126100182533264
150658268052137,0.009950995445251465,0.004063993692398071,0.09261000156402588,0.06907200813293457
491115535401455,0.008150994777679443,0.003582999110221863,0.23052498698234558,0.11529099941253662
476239816639938,0.0063700079917907715,0.002933993935585022,0.10075800120830536,0.05641099810600281
944943661664559,0.005701005458831787,0.00356900691986084,0.06313799321651459,0.062026992440223694
961588203048289,0.00574299693107605,0.0027569979429244995,0.018074005842208862,0.01525600254535675
382527279726176,0.007467001676559448,0.0032809972763061523,0.7012059986591339,0.5885410010814667
368265722647324,0.006572991609573364,0.003219008445739746,0.030966997146606445,0.02518799901008606
380923791875376,0.007283002138137817,0.002992004156112671,0.41569700837135315,0.7777730077505112
174548396574628,0.009505987167358398,0.004173994064331055,0.09126999974250793,0.07033999264240265
886546574474077,0.007542997598648071,0.0032500028610229492,0.9695639908313751,0.998429998755455
