number,solution,myTime,bp1time,bp2time,bp3time
700494393119,700494393191,0.004,0.0023,0.0884,0.0941
705468688024,705468688042,0.0042,0.0023,0.023,0.067
716028921217,716028921271,0.0035,0.002,0.064,0.0703
719113592145,719113592154,0.0029,0.0017,0.0119,0.014
720758034618,720758034681,0.0052,0.003,0.0699,0.0786
723571105390,723571105903,0.0059,0.0027,0.6585,0.6694
728472578630,728472580367,0.0133,0.005,1.9053,2.3496
736927718249,736927718294,0.0175,0.0061,0.0514,0.111
742515128913,742515128931,0.0072,0.0032,0.0231,0.0244
778947954979,778947954997,0.0097,0.0039,0.0232,0.0244
784189018280,784189018802,0.0043,0.0024,0.7048,2.5408
788624630821,788624631028,0.0058,0.0025,0.2879,0.311
790777400859,790777400895,0.0038,0.002,0.0452,0.0468
801768835243,801768835324,0.0064,0.0026,0.0925,0.099
804544508982,804544509288,0.0168,0.0074,0.4507,0.3625
810586780000,810586800007,0.0331,0.0069,25.3122,25.4689
818437865590,818437865905,0.0129,0.0049,0.3739,0.3754
840507290552,840507292055,0.0076,0.0029,1.6669,1.7651
848963653522,848963655223,0.0053,0.0027,1.8212,2.0321
849491192660,849491196026,0.0059,0.0027,3.6732,4.1698
866601001639,866601001693,0.0038,0.0021,0.1023,0.0927
872872948395,872872948539,0.0183,0.0068,0.159,0.1757
877039226995,877039229569,0.0183,0.0067,3.2679,3.2072
878884642687,878884642768,0.0067,0.0028,0.0927,0.1017
884104849281,884104849812,0.0068,0.0029,0.5707,0.8835
901281983710,901281987013,0.0206,0.0029,4.2281,4.2313
903036590812,903036590821,0.0037,0.0019,0.0132,0.0166
910917346943,910917349346,0.0058,0.0029,2.9319,3.3271
925225965733,925225967335,0.0063,0.0029,2.0921,2.1187
929204240941,929204241049,0.0122,0.0045,0.1209,0.1334
930716654341,930716654413,0.0047,0.0024,0.0802,0.0884
940223789076,940223789607,0.005,0.0022,0.6112,0.6424
962145673624,962145673642,0.0032,0.0019,0.0208,0.0249
1032921862847,1032921862874,0.0037,0.0021,0.0426,0.0432
1041625414922,1041625419224,0.021,0.0071,6.413,6.9599
1268890308979,1268890308997,0.1018,0.0507,0.0462,0.0345
1500942563754,1500942564357,0.0113,0.0041,0.7499,0.7675
1570278594418,1570278594481,0.0043,0.0022,0.0837,0.0838
