number,solution,myTime,bp1time,bp2time,bp3time
131,311,0.0197,0.009,0.068,0.0855
132,213,0.0215,0.0093,0.0398,0.0431
133,313,0.0178,0.008,0.0642,0.0803
134,143,0.0067,0.004,0.0053,0.0058
135,153,0.0083,0.0045,0.0196,0.0129
136,163,0.0195,0.0077,0.0254,0.0537
137,173,0.0141,0.0068,0.0177,0.0199
138,183,0.0126,0.0062,0.0198,0.0399
139,193,0.0108,0.0054,0.0352,0.0312
140,401,0.0159,0.0072,0.1389,0.0996
141,411,0.0157,0.007,0.088,0.1065
142,214,0.0237,0.0075,0.0388,0.033
143,314,0.0187,0.0076,0.0623,0.0737
144,414,0.029,0.0074,0.1153,0.1134
145,154,0.0114,0.0057,0.0065,0.0066
146,164,0.0147,0.0266,0.0116,0.0118
147,174,0.0134,0.0056,0.0175,0.0159
148,184,0.0112,0.0056,0.0262,0.0219
149,194,0.0158,0.0079,0.0203,0.0241
150,501,0.014,0.0067,0.1246,0.1518
151,511,0.0092,0.0044,0.3803,0.1323
152,215,0.0144,0.0068,0.0237,0.0282
153,315,0.0153,0.0069,0.086,0.0682
154,415,0.0173,0.0078,0.093,0.121
155,515,0.0168,0.007,0.136,0.1515
156,165,0.0136,0.0065,0.0076,0.0072
157,175,0.0114,0.0058,0.0098,0.0106
158,185,0.0118,0.0056,0.0127,0.0137
159,195,0.0129,0.0065,0.0158,0.0181
160,601,0.0166,0.007,0.1398,0.1725
161,611,0.0229,0.0092,0.1772,0.3031
162,216,0.0152,0.0069,0.0232,0.026
163,316,0.0192,0.0501,0.186,0.1167
164,416,0.0185,0.0079,0.084,0.0988
165,516,0.0193,0.0078,0.4408,0.1483
166,616,0.0151,0.0069,0.1496,0.3127
167,176,0.0145,0.0073,0.0079,0.0082
168,186,0.0222,0.0094,0.0332,0.0174
169,196,0.0124,0.0057,0.0126,0.0271
170,701,0.0199,0.0124,0.6152,0.4946
171,711,0.0173,0.0098,0.3664,0.2362
172,217,0.0358,0.0132,0.0317,0.0374
173,317,0.0239,0.0135,0.0977,0.1025
174,417,0.0198,0.0076,0.0841,0.1001
175,517,0.0153,0.0072,0.141,0.1444
176,617,0.0708,0.0126,0.5814,0.3811
177,717,0.0163,0.0066,0.3245,0.2731
178,187,0.0101,0.0049,0.006,0.0062
179,197,0.0143,0.0066,0.1487,0.0116
180,801,0.0192,0.0086,0.2235,0.2774
181,811,0.0167,0.0077,0.318,0.4598
182,218,0.0126,0.0056,0.014,0.0162
183,318,0.0166,0.0069,0.0474,0.5389
184,418,0.0085,0.0042,0.0713,0.0864
185,518,0.3137,0.0164,0.1568,0.1469
186,618,0.0272,0.0068,0.2457,0.2689
187,718,0.0142,0.0058,0.2303,0.2079
188,818,0.023,0.0093,0.3468,0.2882
189,198,0.0102,0.0058,0.0073,0.0073
190,901,0.0157,0.0086,0.9626,1.9447
191,911,0.01,0.0049,0.2284,0.2795
192,219,0.0142,0.0064,0.0119,0.0144
193,319,0.8684,0.0096,0.0431,0.0527
194,419,0.0122,0.0056,0.0759,0.1581
195,519,0.012,0.0058,0.1008,0.1274
196,619,0.0092,0.0043,0.1241,0.154
197,719,0.0213,0.0097,0.3081,0.3616
198,819,0.0211,0.0106,0.2188,0.282
199,919,0.0198,0.0079,0.261,0.2933
200,-1,0.0064,0.0016,0.0023,0.0018
201,210,0.0318,0.0126,0.0143,0.0117
202,220,0.0118,0.0058,0.0104,0.0145
203,230,0.0141,0.0056,0.0336,0.028
204,240,0.0136,0.006,0.0156,0.0188
205,250,0.0177,0.0074,0.0218,0.0255
206,260,0.0129,0.0067,0.0221,0.0239
207,270,0.0153,0.0067,0.0251,0.0355
208,280,0.0097,0.0055,0.0259,0.0294
209,290,0.0141,0.0067,0.0282,0.0341
210,-1,0.0142,0.0027,0.0048,0.0062
211,-1,0.0086,0.0021,0.0031,0.0021
212,221,0.0117,0.0056,0.0068,0.0068
213,231,0.0181,0.0072,0.0184,0.0113
214,241,0.0146,0.0326,0.0134,0.0144
215,251,0.0293,0.0133,0.0406,0.0498
216,261,0.013,0.006,0.0307,0.0241
217,271,0.0093,0.0046,0.0195,0.0218
218,281,0.0136,0.0077,0.0388,0.0309
219,291,0.0089,0.0049,0.0254,0.0306
220,-1,0.0122,0.0034,0.0051,0.0035
221,-1,0.0104,0.0032,0.0041,0.003
222,-1,0.0086,0.002,0.003,0.0021
223,232,0.0109,0.0053,0.0068,0.0074
224,242,0.0137,0.0064,0.0113,0.0111
225,252,0.012,0.0056,0.0118,0.0149
226,262,0.0134,0.0048,0.0142,0.0168
227,272,0.015,0.0118,0.0334,0.0298
228,282,0.011,0.0052,0.0242,0.0264
229,292,0.0172,0.0072,0.0251,0.0302
230,302,0.0135,0.006,0.0264,0.0298
231,312,0.0152,0.0069,0.0301,0.0389
232,322,0.0134,0.0066,0.032,0.0378
233,323,0.0148,0.0073,0.033,0.0422
234,243,0.0129,0.0058,0.0063,0.0064
235,253,0.0071,0.0041,0.0084,0.0096
236,263,0.0173,0.0066,0.0218,0.0142
237,273,0.014,0.0085,0.0269,0.0295
238,283,0.0151,0.0425,0.021,0.0216
239,293,0.0117,0.0057,0.0209,0.0235
240,402,0.0156,0.0067,0.0702,0.0686
241,412,0.0137,0.0066,0.0659,0.3563
242,422,0.0159,0.0066,0.0599,0.1183
243,324,0.0126,0.0062,0.0459,0.0321
244,424,0.0125,0.0054,0.071,0.0687
245,254,0.0126,0.0162,0.0096,0.0117
246,264,0.0115,0.0059,0.0099,0.0112
247,274,0.0126,0.0057,0.0138,0.0149
248,284,0.0288,0.0056,0.0217,0.0382
249,294,0.0155,0.0065,0.0194,0.6632
250,502,0.0186,0.0078,0.087,0.1064
251,512,0.0275,0.0098,0.1672,0.2378
252,522,0.0311,0.0108,0.3014,0.265
253,325,0.0121,0.0059,0.0254,0.03
254,425,0.0147,0.0067,0.0563,0.0696
255,525,0.0321,0.0067,0.088,0.1056
256,265,0.018,0.0122,0.008,0.0079
